[2025-10-20 23:38:58] Usuário: Natanael | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-20 23:44:21] Usuário: dono | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-21 01:11:10] Usuário: michel | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-22 23:07:59] Usuário: root | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-22 23:10:38] Usuário: root | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-22 23:16:51] Usuário: root | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-22 23:33:53] Usuário: root | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-22 23:46:26] Usuário: root | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-23 00:23:14] Usuário: Michel | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-23 00:25:13] Usuário: lilian | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-25 03:19:14] Usuário: root | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-25 03:23:38] Usuário: Michel | Ação: Cadastro de Usuário | Detalhes: Usuário criado com sucesso.
[2025-10-27 02:09:25] Usuário: admin | Ação: PRODUCT.UPDATE | Detalhes: Produto id=1 nome=Tomato
[2025-10-29 15:53:27] Usuário: root | Ação: PRODUCT.CREATE | Detalhes: Produto id=8 nome=Morango
[2025-10-29 15:54:57] Usuário: root | Ação: PRODUCT.UPDATE | Detalhes: Produto id=8 nome=Morango
[2025-10-29 17:59:41] Usuário: root | Ação: PRODUCT.UPDATE | Detalhes: Produto id=1 nome=Tomate
[2025-10-29 17:59:53] Usuário: root | Ação: PRODUCT.UPDATE | Detalhes: Produto id=1 nome=Tomate
